Gen,Description,Concentration,Concentration,Units,Units(ug/L),Units(ug/L),Log_Conc,Zscore,Pvlue,
EIF3M,Eukaryotic translation initiation factor 3 subunit M,48 ng/L,48,ng/L,0.048,0.048,-4.380821784,-0.991302592,0.160768924,
GUSB,Glucuronidase beta,48 ng/L,48,ng/L,0.048,0.048,-4.380821784,-0.991302592,0.160768924,
GPR37,G protein-coupled receptor 37,48 ng/L,48,ng/L,0.048,0.048,-4.380821784,-0.991302592,0.160768924,
PPP5C,Protein phosphatase 5 catalytic subunit,47 ng/L,47,ng/L,0.047,0.047,-4.411195433,-0.996963569,0.159391097,
LAMP3,Lysosomal associated membrane protein 3,47 ng/L,47,ng/L,0.047,0.047,-4.411195433,-0.996963569,0.159391097,
TNPO1,Transportin 1,47 ng/L,47,ng/L,0.047,0.047,-4.411195433,-0.996963569,0.159391097,
HBQ1,Hemoglobin subunit theta 1,47 ng/L,47,ng/L,0.047,0.047,-4.411195433,-0.996963569,0.159391097,
GNPTAB,N-acetylglucosamine-1-phosphate transferase alpha and beta subunits,47 ng/L,47,ng/L,0.047,0.047,-4.411195433,-0.996963569,0.159391097,
RGN,Regucalcin,47 ng/L,47,ng/L,0.047,0.047,-4.411195433,-0.996963569,0.159391097,
FSHB,Follicle stimulating hormone beta subunit,47 ng/L,47,ng/L,0.047,0.047,-4.411195433,-0.996963569,0.159391097,
APPL2,"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",47 ng/L,47,ng/L,0.047,0.047,-4.411195433,-0.996963569,0.159391097,
RUVBL1,RuvB like AAA ATPase 1,47 ng/L,47,ng/L,0.047,0.047,-4.411195433,-0.996963569,0.159391097,
DDX1,DEAD-box helicase 1,46 ng/L,46,ng/L,0.046,0.046,-4.442222329,-1.002746296,0.157991643,
PSMC1,"Proteasome 26S subunit, ATPase 1",46 ng/L,46,ng/L,0.046,0.046,-4.442222329,-1.002746296,0.157991643,
FABP2,Fatty acid binding protein 2,46 ng/L,46,ng/L,0.046,0.046,-4.442222329,-1.002746296,0.157991643,
ADM,Adrenomedullin,46 ng/L,46,ng/L,0.046,0.046,-4.442222329,-1.002746296,0.157991643,
PGP,Phosphoglycolate phosphatase,46 ng/L,46,ng/L,0.046,0.046,-4.442222329,-1.002746296,0.157991643,
TMED9,Transmembrane p24 trafficking protein 9,46 ng/L,46,ng/L,0.046,0.046,-4.442222329,-1.002746296,0.157991643,
SMPX,"Small muscle protein, X-linked",45 ng/L,45,ng/L,0.045,0.045,-4.473931188,-1.008656127,0.15656979,
CLEC11A,C-type lectin domain containing 11A,45 ng/L,45,ng/L,0.045,0.045,-4.473931188,-1.008656127,0.15656979,
IST1,"IST1, ESCRT-III associated factor",45 ng/L,45,ng/L,0.045,0.045,-4.473931188,-1.008656127,0.15656979,
ALDH5A1,Aldehyde dehydrogenase 5 family member A1,44 ng/L,44,ng/L,0.044,0.044,-4.506352666,-1.014698773,0.15512472,
RRBP1,Ribosome binding protein 1,44 ng/L,44,ng/L,0.044,0.044,-4.506352666,-1.014698773,0.15512472,
SEC14L4,SEC14 like lipid binding 4,44 ng/L,44,ng/L,0.044,0.044,-4.506352666,-1.014698773,0.15512472,
MYBPC3,"Myosin binding protein C, cardiac",44 ng/L,44,ng/L,0.044,0.044,-4.506352666,-1.014698773,0.15512472,
OTOA,Otoancorin,44 ng/L,44,ng/L,0.044,0.044,-4.506352666,-1.014698773,0.15512472,
PSMD12,"Proteasome 26S subunit, non-ATPase 12",44 ng/L,44,ng/L,0.044,0.044,-4.506352666,-1.014698773,0.15512472,
DUSP14,Dual specificity phosphatase 14,44 ng/L,44,ng/L,0.044,0.044,-4.506352666,-1.014698773,0.15512472,
RTCB,"RNA 2',3'-cyclic phosphate and 5'-OH ligase",43 ng/L,43,ng/L,0.043,0.043,-4.53951953,-1.020880343,0.153655567,
USO1,USO1 vesicle transport factor,43 ng/L,43,ng/L,0.043,0.043,-4.53951953,-1.020880343,0.153655567,
CNBP,CCHC-type zinc finger nucleic acid binding protein,43 ng/L,43,ng/L,0.043,0.043,-4.53951953,-1.020880343,0.153655567,
HSPB7,Heat shock protein family B (small) member 7,43 ng/L,43,ng/L,0.043,0.043,-4.53951953,-1.020880343,0.153655567,
GAST,Gastrin,43 ng/L,43,ng/L,0.043,0.043,-4.53951953,-1.020880343,0.153655567,
PPP3R1,"Protein phosphatase 3 regulatory subunit B, alpha",43 ng/L,43,ng/L,0.043,0.043,-4.53951953,-1.020880343,0.153655567,
TPD52,Tumor protein D52,42 ng/L,42,ng/L,0.042,0.042,-4.573466862,-1.027207375,0.152161413,
RENBP,Renin binding protein,42 ng/L,42,ng/L,0.042,0.042,-4.573466862,-1.027207375,0.152161413,
SPOCK2,"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2",42 ng/L,42,ng/L,0.042,0.042,-4.573466862,-1.027207375,0.152161413,
UGDH,UDP-glucose 6-dehydrogenase,42 ng/L,42,ng/L,0.042,0.042,-4.573466862,-1.027207375,0.152161413,
CD101,CD101 molecule,42 ng/L,42,ng/L,0.042,0.042,-4.573466862,-1.027207375,0.152161413,
ITGA11,Integrin subunit alpha 11,42 ng/L,42,ng/L,0.042,0.042,-4.573466862,-1.027207375,0.152161413,
ITGB7,Integrin subunit beta 7,42 ng/L,42,ng/L,0.042,0.042,-4.573466862,-1.027207375,0.152161413,
HFE2,Hemochromatosis type 2 (juvenile),42 ng/L,42,ng/L,0.042,0.042,-4.573466862,-1.027207375,0.152161413,
NCKIPSD,NCK interacting protein with SH3 domain,42 ng/L,42,ng/L,0.042,0.042,-4.573466862,-1.027207375,0.152161413,
SERPINB10,Serpin family B member 10,42 ng/L,42,ng/L,0.042,0.042,-4.573466862,-1.027207375,0.152161413,
GMDS,"GDP-mannose 4,6-dehydratase",41 ng/L,41,ng/L,0.041,0.041,-4.60823228,-1.033686881,0.150641284,
RCN2,Reticulocalbin 2,41 ng/L,41,ng/L,0.041,0.041,-4.60823228,-1.033686881,0.150641284,
FURIN,"Furin, paired basic amino acid cleaving enzyme",41 ng/L,41,ng/L,0.041,0.041,-4.60823228,-1.033686881,0.150641284,
EML4,Echinoderm microtubule associated protein like 4,41 ng/L,41,ng/L,0.041,0.041,-4.60823228,-1.033686881,0.150641284,
SLC9A9,Solute carrier family 9 member A9,41 ng/L,41,ng/L,0.041,0.041,-4.60823228,-1.033686881,0.150641284,
PAPPA,Pappalysin 1,41 ng/L,41,ng/L,0.041,0.041,-4.60823228,-1.033686881,0.150641284,
C6orf58,Chromosome 6 open reading frame 58,41 ng/L,41,ng/L,0.041,0.041,-4.60823228,-1.033686881,0.150641284,
GCN1,"GCN1, eIF2 alpha kinase activator homolog",40 ng/L,40,ng/L,0.04,0.04,-4.64385619,-1.04032639,0.149094144,
PDAP1,PDGFA associated protein 1,40 ng/L,40,ng/L,0.04,0.04,-4.64385619,-1.04032639,0.149094144,
CBX3,Chromobox 3,40 ng/L,40,ng/L,0.04,0.04,-4.64385619,-1.04032639,0.149094144,
DKC1,Dyskerin pseudouridine synthase 1,40 ng/L,40,ng/L,0.04,0.04,-4.64385619,-1.04032639,0.149094144,
FAM129A,Family with sequence similarity 129 member A,40 ng/L,40,ng/L,0.04,0.04,-4.64385619,-1.04032639,0.149094144,
TRA2B,Transformer 2 beta homolog,40 ng/L,40,ng/L,0.04,0.04,-4.64385619,-1.04032639,0.149094144,
MGST3,Microsomal glutathione S-transferase 3,40 ng/L,40,ng/L,0.04,0.04,-4.64385619,-1.04032639,0.149094144,
COPG2,Coatomer protein complex subunit gamma 2,40 ng/L,40,ng/L,0.04,0.04,-4.64385619,-1.04032639,0.149094144,
ALDH4A1,Aldehyde dehydrogenase 4 family member A1,40 ng/L,40,ng/L,0.04,0.04,-4.64385619,-1.04032639,0.149094144,
NLGN1,Neuroligin 1,40 ng/L,40,ng/L,0.04,0.04,-4.64385619,-1.04032639,0.149094144,
YOD1,YOD1 deubiquitinase,40 ng/L,40,ng/L,0.04,0.04,-4.64385619,-1.04032639,0.149094144,
HDAC6,Histone deacetylase 6,39 ng/L,39,ng/L,0.039,0.039,-4.680382066,-1.047134005,0.147518889,
PARP1,Poly(ADP-ribose) polymerase 1,39 ng/L,39,ng/L,0.039,0.039,-4.680382066,-1.047134005,0.147518889,
PSMC2,"Proteasome 26S subunit, ATPase 2",39 ng/L,39,ng/L,0.039,0.039,-4.680382066,-1.047134005,0.147518889,
RPS17,Ribosomal protein S17,39 ng/L,39,ng/L,0.039,0.039,-4.680382066,-1.047134005,0.147518889,
ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",39 ng/L,39,ng/L,0.039,0.039,-4.680382066,-1.047134005,0.147518889,
MVP,Major vault protein,38 ng/L,38,ng/L,0.038,0.038,-4.717856771,-1.054118462,0.145914342,
NRBP1,Nuclear receptor binding protein 1,38 ng/L,38,ng/L,0.038,0.038,-4.717856771,-1.054118462,0.145914342,
SLIRP,SRA stem-loop interacting RNA binding protein,38 ng/L,38,ng/L,0.038,0.038,-4.717856771,-1.054118462,0.145914342,
GAMT,Guanidinoacetate N-methyltransferase,38 ng/L,38,ng/L,0.038,0.038,-4.717856771,-1.054118462,0.145914342,
PCSK6,Proprotein convertase subtilisin/kexin type 6,38 ng/L,38,ng/L,0.038,0.038,-4.717856771,-1.054118462,0.145914342,
FEN1,Flap structure-specific endonuclease 1,38 ng/L,38,ng/L,0.038,0.038,-4.717856771,-1.054118462,0.145914342,
KPNA2,Karyopherin subunit alpha 2,38 ng/L,38,ng/L,0.038,0.038,-4.717856771,-1.054118462,0.145914342,
TSPAN32,Tetraspanin 32,37 ng/L,37,ng/L,0.037,0.037,-4.756330919,-1.061289192,0.144279248,
ITPR1,"Inositol 1,4,5-trisphosphate receptor type 1",37 ng/L,37,ng/L,0.037,0.037,-4.756330919,-1.061289192,0.144279248,
CD96,CD96 molecule,37 ng/L,37,ng/L,0.037,0.037,-4.756330919,-1.061289192,0.144279248,
RPS16,Ribosomal protein S16,36 ng/L,36,ng/L,0.036,0.036,-4.795859283,-1.068656405,0.142612261,
IGF1R,Insulin like growth factor 1 receptor,36 ng/L,36,ng/L,0.036,0.036,-4.795859283,-1.068656405,0.142612261,
CRNN,Cornulin,36 ng/L,36,ng/L,0.036,0.036,-4.795859283,-1.068656405,0.142612261,
OPRPN,Opiorphin prepropeptide,36 ng/L,36,ng/L,0.036,0.036,-4.795859283,-1.068656405,0.142612261,
CBX1,Chromobox 1,35 ng/L,35,ng/L,0.035,0.035,-4.836501268,-1.076231173,0.140911941,
HPCAL1,Hippocalcin like 1,35 ng/L,35,ng/L,0.035,0.035,-4.836501268,-1.076231173,0.140911941,
TRIM25,Tripartite motif containing 25,35 ng/L,35,ng/L,0.035,0.035,-4.836501268,-1.076231173,0.140911941,
PPP3CA,Protein phosphatase 3 catalytic subunit alpha,35 ng/L,35,ng/L,0.035,0.035,-4.836501268,-1.076231173,0.140911941,
EFHD2,EF-hand domain family member D2,35 ng/L,35,ng/L,0.035,0.035,-4.836501268,-1.076231173,0.140911941,
ADPGK,ADP dependent glucokinase,35 ng/L,35,ng/L,0.035,0.035,-4.836501268,-1.076231173,0.140911941,
NLRX1,NLR family member X1,35 ng/L,35,ng/L,0.035,0.035,-4.836501268,-1.076231173,0.140911941,
GOLGB1,Golgin B1,35 ng/L,35,ng/L,0.035,0.035,-4.836501268,-1.076231173,0.140911941,
PENK,Proenkephalin,35 ng/L,35,ng/L,0.035,0.035,-4.836501268,-1.076231173,0.140911941,
PPIL3,Peptidylprolyl isomerase like 3,35 ng/L,35,ng/L,0.035,0.035,-4.836501268,-1.076231173,0.140911941,
TOLLIP,Toll interacting protein,34 ng/L,34,ng/L,0.034,0.034,-4.878321443,-1.084025529,0.13917674,
STRN4,Striatin 4,34 ng/L,34,ng/L,0.034,0.034,-4.878321443,-1.084025529,0.13917674,
SNAP29,Synaptosome associated protein 29,34 ng/L,34,ng/L,0.034,0.034,-4.878321443,-1.084025529,0.13917674,
VPS4B,Vacuolar protein sorting 4 homolog B,34 ng/L,34,ng/L,0.034,0.034,-4.878321443,-1.084025529,0.13917674,
HECTD3,HECT domain E3 ubiquitin protein ligase 3,34 ng/L,34,ng/L,0.034,0.034,-4.878321443,-1.084025529,0.13917674,
UBE2L6,Ubiquitin conjugating enzyme E2 L6,34 ng/L,34,ng/L,0.034,0.034,-4.878321443,-1.084025529,0.13917674,
XXYLT1,Xyloside xylosyltransferase 1,34 ng/L,34,ng/L,0.034,0.034,-4.878321443,-1.084025529,0.13917674,
MYADM,Myeloid associated differentiation marker,34 ng/L,34,ng/L,0.034,0.034,-4.878321443,-1.084025529,0.13917674,
MDP1,Magnesium dependent phosphatase 1,34 ng/L,34,ng/L,0.034,0.034,-4.878321443,-1.084025529,0.13917674,
DYNC1I2,Dynein cytoplasmic 1 intermediate chain 2,33 ng/L,33,ng/L,0.033,0.033,-4.921390165,-1.092052586,0.137404994,
CIRBP,Cold inducible RNA binding protein,33 ng/L,33,ng/L,0.033,0.033,-4.921390165,-1.092052586,0.137404994,
ASPN,Asporin,33 ng/L,33,ng/L,0.033,0.033,-4.921390165,-1.092052586,0.137404994,
TPST2,Tyrosylprotein sulfotransferase 2,33 ng/L,33,ng/L,0.033,0.033,-4.921390165,-1.092052586,0.137404994,
COPS7B,COP9 signalosome subunit 7B,33 ng/L,33,ng/L,0.033,0.033,-4.921390165,-1.092052586,0.137404994,
CBR4,Carbonyl reductase 4,33 ng/L,33,ng/L,0.033,0.033,-4.921390165,-1.092052586,0.137404994,
GGT6,Gamma-glutamyltransferase 6,33 ng/L,33,ng/L,0.033,0.033,-4.921390165,-1.092052586,0.137404994,
PRKG1,"Protein kinase, cGMP-dependent, type I",33 ng/L,33,ng/L,0.033,0.033,-4.921390165,-1.092052586,0.137404994,
KLRK1,Killer cell lectin like receptor K1,33 ng/L,33,ng/L,0.033,0.033,-4.921390165,-1.092052586,0.137404994,
MYOM1,Myomesin 1,32 ng/L,32,ng/L,0.032,0.032,-4.965784285,-1.100326669,0.135594908,
HS1BP3,HCLS1 binding protein 3,32 ng/L,32,ng/L,0.032,0.032,-4.965784285,-1.100326669,0.135594908,
LRRN4,Leucine rich repeat neuronal 4,32 ng/L,32,ng/L,0.032,0.032,-4.965784285,-1.100326669,0.135594908,
MICAL1,"Microtubule associated monooxygenase, calponin and LIM domain containing 1",32 ng/L,32,ng/L,0.032,0.032,-4.965784285,-1.100326669,0.135594908,
PTK2,Protein tyrosine kinase 2,32 ng/L,32,ng/L,0.032,0.032,-4.965784285,-1.100326669,0.135594908,
CHMP6,Charged multivesicular body protein 6,32 ng/L,32,ng/L,0.032,0.032,-4.965784285,-1.100326669,0.135594908,
C4orf48,Chromosome 4 open reading frame 48,32 ng/L,32,ng/L,0.032,0.032,-4.965784285,-1.100326669,0.135594908,
DNAJA2,DnaJ heat shock protein family (Hsp40) member A2,31 ng/L,31,ng/L,0.031,0.031,-5.011587974,-1.108863464,0.133744544,
ANGPT2,Angiopoietin 2,31 ng/L,31,ng/L,0.031,0.031,-5.011587974,-1.108863464,0.133744544,
PDCD5,Programmed cell death 5,31 ng/L,31,ng/L,0.031,0.031,-5.011587974,-1.108863464,0.133744544,
PCDH17,Protocadherin 17,31 ng/L,31,ng/L,0.031,0.031,-5.011587974,-1.108863464,0.133744544,
PNKD,Paroxysmal nonkinesigenic dyskinesia,31 ng/L,31,ng/L,0.031,0.031,-5.011587974,-1.108863464,0.133744544,
PTMS,Parathymosin,31 ng/L,31,ng/L,0.031,0.031,-5.011587974,-1.108863464,0.133744544,
AGR3,"Anterior gradient 3, protein disulphide isomerase family member",31 ng/L,31,ng/L,0.031,0.031,-5.011587974,-1.108863464,0.133744544,
XYLT1,Xylosyltransferase 1,30 ng/L,30,ng/L,0.03,0.03,-5.058893689,-1.117680203,0.1318518,
SNRNP70,Small nuclear ribonucleoprotein U1 subunit 70,30 ng/L,30,ng/L,0.03,0.03,-5.058893689,-1.117680203,0.1318518,
DHX15,DEAH-box helicase 15,30 ng/L,30,ng/L,0.03,0.03,-5.058893689,-1.117680203,0.1318518,
PIN1,"Peptidylprolyl cis/trans isomerase, NIMA-interacting 1",30 ng/L,30,ng/L,0.03,0.03,-5.058893689,-1.117680203,0.1318518,
RPL27,Ribosomal protein L27,30 ng/L,30,ng/L,0.03,0.03,-5.058893689,-1.117680203,0.1318518,
SQOR,Sulfide quinone oxidoreductase,30 ng/L,30,ng/L,0.03,0.03,-5.058893689,-1.117680203,0.1318518,
VAV1,Vav guanine nucleotide exchange factor 1,30 ng/L,30,ng/L,0.03,0.03,-5.058893689,-1.117680203,0.1318518,
MVD,Mevalonate diphosphate decarboxylase,30 ng/L,30,ng/L,0.03,0.03,-5.058893689,-1.117680203,0.1318518,
C1QTNF1,C1q and TNF related 1,30 ng/L,30,ng/L,0.03,0.03,-5.058893689,-1.117680203,0.1318518,
MYO1C,Myosin IC,30 ng/L,30,ng/L,0.03,0.03,-5.058893689,-1.117680203,0.1318518,
IPO9,Importin 9,30 ng/L,30,ng/L,0.03,0.03,-5.058893689,-1.117680203,0.1318518,
SEMA3B,Semaphorin 3B,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
DAPP1,Dual adaptor of phosphotyrosine and 3-phosphoinositides 1,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
CA12,Carbonic anhydrase 12,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
ACOT7,Acyl-CoA thioesterase 7,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
MCM3,Minichromosome maintenance complex component 3,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
FAM162A,Family with sequence similarity 162 member A,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
TNNI2,"Troponin I2, fast skeletal type",29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
EPRS,Glutamyl-prolyl-tRNA synthetase,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
COPS3,COP9 signalosome subunit 3,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
ADD3,Adducin 3,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
TPPP3,Tubulin polymerization promoting protein family member 3,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
TNFSF13,TNF superfamily member 13,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
CAVIN1,Caveolae associated protein 1,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
VPS13A,Vacuolar protein sorting 13 homolog A,29 ng/L,29,ng/L,0.029,0.029,-5.10780329,-1.126795871,0.129914398,
ATP2C1,ATPase secretory pathway Ca2+ transporting 1,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
PICALM,Phosphatidylinositol binding clathrin assembly protein,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
MFNG,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
AHSA1,Activator of HSP90 ATPase activity 1,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
STEAP3,STEAP3 metalloreductase,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
TROVE2,TROVE domain family member 2,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
NUP210,Nucleoporin 210,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
GLUL,Glutamate-ammonia ligase,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
CD27,CD27 molecule,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
PRPSAP2,Phosphoribosyl pyrophosphate synthetase associated protein 2,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
SNX12,Sorting nexin 12,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
NADK2,"NAD kinase 2, mitochondrial",28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
APPL1,"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1",28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
AGFG1,ArfGAP with FG repeats 1,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
MYLPF,"Myosin light chain, phosphorylatable, fast skeletal muscle",28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
SRSF10,Serine and arginine rich splicing factor 10,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
ENTPD4,Ectonucleoside triphosphate diphosphohydrolase 4,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
RPL17,Ribosomal protein L17,28 ng/L,28,ng/L,0.028,0.028,-5.158429363,-1.136231452,0.127929855,
HACD3,3-hydroxyacyl-CoA dehydratase 3,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
KIAA1549L,KIAA1549 like,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
COPS5,COP9 signalosome subunit 5,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
HS6ST1,Heparan sulfate 6-O-sulfotransferase 1,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
NPC1,NPC intracellular cholesterol transporter 1,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
FBLN7,Fibulin 7,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
NDUFS6,NADH:ubiquinone oxidoreductase subunit S6,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
ADAM17,ADAM metallopeptidase domain 17,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
RBBP4,"RB binding protein 4, chromatin remodeling factor",27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
FRZB,Frizzled related protein,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
GP2,Glycoprotein 2,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
ATOX1,Antioxidant 1 copper chaperone,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
SMOC1,SPARC related modular calcium binding 1,27 ng/L,27,ng/L,0.027,0.027,-5.210896782,-1.146010219,0.125895462,
IARS2,"Isoleucyl-tRNA synthetase 2, mitochondrial",26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
CAD,"Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
SMS,Spermine synthase,26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
REEP6,Receptor accessory protein 6,26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
TINAG,Tubulointerstitial nephritis antigen,26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
FXYD2,FXYD domain containing ion transport regulator 2,26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
SNRPF,Small nuclear ribonucleoprotein polypeptide F,26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
SUOX,Sulfite oxidase,26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
ATG3,Autophagy related 3,26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
SRL,Sarcalumenin,26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
SLITRK2,SLIT and NTRK like family member 2,26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
IPO7,Importin 7,26 ng/L,26,ng/L,0.026,0.026,-5.265344567,-1.156158082,0.123808251,
MSR1,Macrophage scavenger receptor 1,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
CHMP4B,Charged multivesicular body protein 4B,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
RBBP7,"RB binding protein 7, chromatin remodeling factor",25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
EIF4G2,Eukaryotic translation initiation factor 4 gamma 2,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
GLS,Glutaminase,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
CTH,Cystathionine gamma-lyase,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
BBOX1,Gamma-butyrobetaine hydroxylase 1,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
GALNT15,Polypeptide N-acetylgalactosaminyltransferase 15,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
EGF,Epidermal growth factor,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
DPT,Dermatopontin,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
ASAP1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
TNNI1,"Troponin I1, slow skeletal type",25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
EHBP1L1,EH domain binding protein 1 like 1,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
MSRA,Methionine sulfoxide reductase A,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
DCC,DCC netrin 1 receptor,25 ng/L,25,ng/L,0.025,0.025,-5.321928095,-1.166704,0.121664963,
STK10,Serine/threonine kinase 10,24 ng/L,24,ng/L,0.024,0.024,-5.380821784,-1.177680482,0.119462006,
RBM3,RNA binding motif protein 3,24 ng/L,24,ng/L,0.024,0.024,-5.380821784,-1.177680482,0.119462006,
RHEB,"Ras homolog, mTORC1 binding",24 ng/L,24,ng/L,0.024,0.024,-5.380821784,-1.177680482,0.119462006,
ADAM23,ADAM metallopeptidase domain 23,24 ng/L,24,ng/L,0.024,0.024,-5.380821784,-1.177680482,0.119462006,
ALDH8A1,Aldehyde dehydrogenase 8 family member A1,24 ng/L,24,ng/L,0.024,0.024,-5.380821784,-1.177680482,0.119462006,
ETF1,Eukaryotic translation termination factor 1,24 ng/L,24,ng/L,0.024,0.024,-5.380821784,-1.177680482,0.119462006,
XPO7,Exportin 7,24 ng/L,24,ng/L,0.024,0.024,-5.380821784,-1.177680482,0.119462006,
CERS2,Ceramide synthase 2,24 ng/L,24,ng/L,0.024,0.024,-5.380821784,-1.177680482,0.119462006,
